season,date,home,away,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
1928/29,1929-02-10,Arenas de Getxo,Atletico Madrid,2,3,,,,,,,,,,,,,,
1928/29,1929-02-10,Espanyol Barcelona,Real Union,3,2,,,,,,,,,,,,,,
1928/29,1929-02-10,Real Madrid,CE Europa,5,0,,,,,,,,,,,,,,
1928/29,1929-02-10,Real Sociedad,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1928/29,1929-02-12,Racing Santander,FC Barcelona,0,2,,,,,,,,,,,,,,
1928/29,1929-02-17,Athletic Bilbao,Espanyol Barcelona,9,0,,,,,,,,,,,,,,
1928/29,1929-02-17,Atletico Madrid,Real Sociedad,0,3,,,,,,,,,,,,,,
1928/29,1929-02-17,CE Europa,Arenas de Getxo,5,2,,,,,,,,,,,,,,
1928/29,1929-02-17,FC Barcelona,Real Madrid,1,2,,,,,,,,,,,,,,
1928/29,1929-02-17,Real Union,Racing Santander,3,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Arenas de Getxo,Real Union,1,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Espanyol Barcelona,CE Europa,3,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Racing Santander,Athletic Bilbao,0,4,,,,,,,,,,,,,,
1928/29,1929-02-24,Real Madrid,Atletico Madrid,2,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Real Sociedad,FC Barcelona,3,0,,,,,,,,,,,,,,
1928/29,1929-03-03,Athletic Bilbao,CE Europa,2,0,,,,,,,,,,,,,,
1928/29,1929-03-03,Espanyol Barcelona,Racing Santander,3,0,,,,,,,,,,,,,,
1928/29,1929-03-03,FC Barcelona,Arenas de Getxo,2,2,,,,,,,,,,,,,,
1928/29,1929-03-03,Real Madrid,Real Sociedad,2,1,,,,,,,,,,,,,,
1928/29,1929-03-03,Real Union,Atletico Madrid,1,2,,,,,,,,,,,,,,
1928/29,1929-03-10,Arenas de Getxo,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1928/29,1929-03-10,Atletico Madrid,FC Barcelona,4,1,,,,,,,,,,,,,,
1928/29,1929-03-10,CE Europa,Real Union,3,3,,,,,,,,,,,,,,
1928/29,1929-03-10,Racing Santander,Real Madrid,1,3,,,,,,,,,,,,,,
1928/29,1929-03-10,Real Sociedad,Espanyol Barcelona,1,1,,,,,,,,,,,,,,
